term	warmth (W)	competence (C)	sociability (S)	trust (T)
judicial	0.933	0.666	-0.611	0.933
judicial review	0.833	0.448	0.083	0.833
judicial system	0.833	0.420	-0.381	0.833
judicially	0.889	0.815	0.000	0.889
judicious	0.867	0.544	0.625	0.867
judiciously	0.767	0.778	0.556	0.767
judiciousness	0.879	0.667	0.800	0.879
juggler	0.259	-0.040	0.259	0.028
jugular	-0.500	-0.148	-0.500	0.000
juice	0.481	-0.296	0.481	0.091
juice box	0.500	-0.286	0.500	0.033
juiceless	-0.500	-0.444	-0.500	-0.111
juicily	0.417	0.000	0.417	-0.167
juiciness	0.407	-0.185	0.407	0.067
juicy	0.444	-0.020	0.444	0.061
jujitsu	0.000	0.750	0.000	0.000
jukebox	0.750	-0.142	0.750	0.083
jumble	-0.095	-0.338	-0.095	0.000
jumbled	-0.370	-0.110	-0.370	-0.300
jumbler	-0.542	-0.583	-0.542	-0.242
jumbo	-0.061	-0.106	0.048	-0.061
jump	0.250	0.222	0.250	0.152
jump at	0.810	0.104	0.810	0.083
jump down	0.095	-0.234	0.095	-0.067
jump in	0.917	0.000	0.917	0.000
jump off	-0.222	-0.138	-0.143	-0.222
jump out	0.048	-0.258	0.048	-0.030
jump rope	0.792	-0.212	0.792	0.083
jump up	0.375	0.034	0.375	0.061
jumprope	0.952	-0.111	0.952	0.083
jumpy	-0.400	-0.568	-0.292	-0.400
juncture	0.091	-0.018	0.000	0.091
junior	0.375	-0.392	0.375	0.212
junk	-0.375	-0.764	-0.375	-0.361
junk drawer	-0.200	-0.250	0.083	-0.200
junk food	-0.545	-0.100	-0.148	-0.545
junk mail	-0.750	-0.334	-0.593	-0.750
junkie	-0.879	-0.274	-0.792	-0.879
junky	-0.633	-0.314	-0.400	-0.633
junkyard	-0.625	-0.396	-0.625	-0.455
juries	0.545	0.571	0.167	0.545
jurisprudence	0.667	0.528	-0.583	0.667
jury duty	0.528	-0.072	-0.208	0.528
juryless	-0.583	-0.444	-0.583	-0.200
just	0.727	0.524	0.722	0.727
just any	-0.139	-0.322	-0.042	-0.139
just kidding	0.905	-0.222	0.905	0.033
just miss	0.030	-0.500	0.000	0.030
just off	-0.194	-0.312	-0.074	-0.194
just right	0.952	0.068	0.952	0.800
just so	0.125	-0.256	0.125	0.111
justice	1.000	0.574	0.708	1.000
justice department	0.667	0.586	0.278	0.667
justifiable	0.848	0.642	0.286	0.848
justifiably	0.806	0.542	0.429	0.806
justified	0.697	0.500	0.286	0.697
justifier	0.630	0.500	0.458	0.630
justly	0.917	0.286	0.917	0.861
justness	0.952	0.556	0.952	0.879
juvenile	0.148	0.052	0.067	0.148
juxtapose	0.061	0.389	-0.037	0.061
kabob	0.267	0.000	0.267	0.061
kaleidoscopic	0.238	0.000	0.238	0.091
kaleidoscopically	-0.042	0.333	-0.042	0.000
kamikaze	-0.952	0.290	-0.952	-0.722
kangaroo	0.762	-0.398	0.762	0.000
kaput	-0.583	-0.120	-0.583	-0.167
karaoke	1.000	-0.316	1.000	0.028
karaoke bar	0.905	-0.066	0.905	0.033
karat	0.000	-0.042	0.000	0.000
karmic	0.485	-0.072	0.292	0.485
kart	0.042	0.111	0.042	-0.030
kayaker	0.625	0.444	0.625	0.000
keel	-0.067	-0.162	-0.067	0.028
keen	0.625	0.612	0.625	0.182
keenly	0.583	0.611	0.583	0.222
keep	0.567	0.094	0.208	0.567
keep around	0.917	0.066	0.917	0.367
keep away	-0.667	0.300	-0.667	0.000
keep coming	0.250	0.286	0.250	0.042
keep doing	0.485	0.410	0.111	0.485
keep going	0.875	0.266	0.875	0.182
keep on	0.500	0.000	0.500	0.306
keep out	-0.810	-0.194	-0.810	-0.233
keep pace	0.367	-0.066	0.333	0.367
keep quiet	-0.556	-0.354	-0.556	0.083
keep running	0.533	0.414	0.381	0.533
keep safe	1.000	0.214	1.000	0.606
keep up	0.833	0.134	0.833	0.139
keepsake	0.958	-0.018	0.958	0.292
kempt	0.917	0.417	0.389	0.917
kentucky	0.500	0.125	0.500	0.061
keratosis	-0.583	-0.481	-0.583	0.000
kerosene	-0.704	-0.146	-0.704	0.000
ketamine	-0.583	-0.370	-0.583	-0.148
ketchup	0.333	-0.436	0.333	0.000
kettle	0.125	-0.334	0.125	0.030
kettleful	0.033	-0.167	0.000	0.033
kevlar	-0.542	0.875	-0.542	0.250
key component	0.636	0.276	0.190	0.636
key player	0.852	0.444	0.852	0.111
key role	0.727	0.116	0.333	0.727
keyboardist	0.222	0.556	0.222	0.000
keycard	0.667	0.167	0.000	0.667
kick	-0.333	0.052	-0.333	-0.111
kick back	0.524	-0.388	0.524	-0.111
kick butt	0.389	-0.134	0.389	-0.121
kick in	0.048	-0.206	0.048	-0.033
kick it	0.733	-0.130	0.733	0.028
kick myself	-0.375	-0.392	-0.375	-0.083
kick off	-0.222	-0.348	-0.222	0.030
kick out	-0.708	-0.108	-0.708	-0.667
kick start	0.500	0.000	0.500	0.061
kick up	-0.333	-0.310	0.000	-0.333
kickable	-0.571	-0.333	-0.571	-0.267
kickball	0.875	0.095	0.875	0.000
kickboxer	0.083	0.750	-0.056	0.083
kicking	-0.500	0.020	-0.476	-0.500
kicking around	-0.143	-0.154	-0.143	-0.056
kickstart	0.667	0.708	0.667	0.200
kid	0.917	-0.404	0.917	-0.152
kidder	0.542	-0.058	0.542	-0.077
kiddie	1.000	-0.792	1.000	0.000
kidnap	-1.000	0.070	-1.000	-0.967
kidnapped	-0.833	-0.090	-0.778	-0.833
kidnapper	-1.000	0.236	-1.000	-1.000
kidney disease	-0.667	-0.310	-0.667	0.000
kidney failure	-0.708	-1.000	-0.708	-0.074
kidney stone	-0.121	-0.400	-0.095	-0.121
kids	1.000	-0.166	1.000	0.167
kids meal	0.857	0.034	0.857	0.033
kill	-1.000	0.472	-1.000	-1.000
kill for	-0.958	0.056	-0.958	-0.909
kill me	-0.939	-0.392	-0.815	-0.939
kill off	-0.926	-0.420	-0.926	-0.909
kill time	0.033	-0.420	0.000	0.033
killable	-0.958	-0.625	-0.958	-0.095
killer	-1.000	0.006	-1.000	-1.000
killer instinct	-0.708	-0.066	-0.708	-0.700
killin	-0.952	-0.242	-0.952	-0.879
killing	-1.000	0.392	-1.000	-0.818
killing me	-0.900	-0.300	-0.857	-0.900
killjoy	-0.792	-0.352	-0.792	-0.639
kilter	0.000	-0.148	0.000	0.000
kimono	0.417	-0.274	0.417	0.030
kind	1.000	0.236	1.000	0.963
kind hearted	0.944	0.266	0.944	0.861
kind regards	1.000	0.300	1.000	0.778
kindergarten	1.000	-0.384	1.000	0.606
kindergartener	0.952	-0.583	0.952	0.407
kindergartner	0.917	-0.857	0.917	0.333
kindest	1.000	-0.619	1.000	0.944
kindhearted	1.000	-0.333	1.000	0.889
kindheartedly	0.958	0.042	0.958	0.867
kindheartedness	1.000	-0.296	1.000	0.879
kindler	0.875	0.407	0.875	0.455
kindliness	0.917	-0.476	0.917	0.909
kindly	0.963	-0.333	0.963	0.833
kindness	0.971	0.016	0.971	0.970
kindred	1.000	0.034	1.000	0.767
kindred spirit	1.000	0.096	1.000	0.606
kinesthesia	0.000	0.000	0.000	0.000
kinesthetic	0.125	0.593	0.125	0.033
kinfolk	0.926	0.000	0.926	0.485
king	0.727	0.784	0.630	0.727
king sized	0.143	0.226	0.143	0.083
kingdom	0.292	0.820	0.292	0.233
kingfish	0.389	0.875	0.389	0.000
kingfisher	0.000	0.000	0.000	0.000
kinghood	0.576	0.889	0.381	0.576
kingless	-0.778	-0.583	-0.778	0.056
kinglike	0.583	1.000	0.429	0.583
kingliness	0.611	1.000	0.476	0.611
kingmaker	-0.333	0.875	-0.333	0.111
kingpin	0.083	0.284	0.000	0.083
kingship	0.611	1.000	0.593	0.611
kink	-0.611	-0.358	0.238	-0.611
kinless	-0.704	-0.852	-0.704	0.000
kinsfolk	0.917	-0.417	0.917	0.697
kinship	0.963	0.304	0.963	0.583
kinswoman	0.952	-0.083	0.952	0.583
kiss	1.000	0.260	1.000	0.300
kiss me	1.000	-0.226	1.000	0.030
kissable	0.792	-0.222	0.792	0.000
kisser	0.583	0.236	0.583	0.000
kissy	0.889	-0.196	0.889	0.074
kitchen	0.952	-0.204	0.952	0.061
kitchen table	0.917	-0.034	0.917	0.567
kitchenette	0.286	-0.333	0.286	0.061
kitchenware	0.222	0.000	0.222	0.042
kite	0.250	0.146	0.250	0.000
kitten	0.958	-0.480	0.958	0.100
kittenish	0.875	-0.542	0.875	-0.030
kitty litter	-0.583	0.000	-0.583	0.000
kiwi	0.556	-0.436	0.556	0.000
klan	-1.000	-0.037	-0.905	-1.000
kleenex	0.542	0.000	0.542	0.067
kleptomania	-0.926	-0.778	-0.926	-0.926
kleptomaniac	-0.970	-0.667	-0.875	-0.970
klutz	0.467	-0.288	0.467	-0.212
klutziness	-0.194	-0.833	0.125	-0.194
klutzy	-0.100	-0.810	0.048	-0.100
knacker	-0.606	-0.429	-0.500	-0.606
knave	-0.917	-0.417	-0.852	-0.917
knavish	-0.900	-0.524	-0.667	-0.900
knavishly	-0.909	-0.500	-0.875	-0.909
knee jerk	-0.333	-0.148	-0.333	0.030
kneel down	0.389	-0.434	0.389	0.111
kneeling	0.417	-0.712	0.417	0.152
knell	-0.810	-0.246	-0.810	0.000
knife	-0.571	0.146	-0.571	0.000
knife fight	-0.905	0.072	-0.905	-0.606
knifelike	-0.810	0.625	-0.810	-0.111
knifeman	-0.963	1.000	-0.963	-0.667
knifepoint	-1.000	0.875	-1.000	-0.750
knight	0.905	0.670	0.905	0.767
knighthood	0.848	0.538	0.571	0.848
knightliness	1.000	0.889	1.000	0.818
knit	0.905	-0.410	0.905	0.100
knitted	0.500	0.000	0.500	0.167
knitter	0.905	-0.292	0.905	0.528
knitwear	0.429	0.000	0.429	0.091
knob	-0.030	-0.456	0.000	-0.030
knock	0.250	0.054	0.250	-0.139
knock down	-0.545	-0.324	-0.389	-0.545
knock knock	0.889	-0.300	0.889	0.033
knock off	-0.485	-0.500	-0.333	-0.485
knock on	0.185	-0.034	0.185	0.000
knock out	-0.212	-0.250	-0.167	-0.212
knock over	-0.417	-0.134	-0.417	-0.394
knockabout	0.389	-0.125	0.389	0.042
knocked out	-0.625	-0.300	-0.625	-0.167
knocked up	-0.500	-0.240	-0.500	-0.083
knocker	-0.185	0.542	-0.185	-0.061
knockoff	-0.778	-0.520	-0.619	-0.778
knockout	0.333	0.328	0.333	0.000
knotless	0.167	0.143	0.048	0.167
knotted	-0.389	-0.412	-0.389	-0.028
knottiness	-0.333	-0.292	-0.333	-0.257
knotting	0.028	0.296	0.000	0.028
know	1.000	0.408	1.000	0.800
know nothing	-0.625	-0.310	-0.625	-0.472
knowable	0.194	0.296	0.048	0.194
knowhow	0.633	0.792	0.381	0.633
knowing	0.606	0.316	0.571	0.606
knowledge	0.727	0.792	0.133	0.727
knowledge base	0.639	0.500	0.400	0.639
knowledgeable	0.848	0.944	0.722	0.848
knowledgeably	0.848	0.667	0.190	0.848
knuckle	-0.381	-0.214	-0.381	0.000
knucklebone	-0.444	0.000	-0.444	0.000
knuckleduster	-0.944	0.958	-0.944	-0.750
knucklehead	-0.694	-0.424	-0.625	-0.694
knuckles	-0.042	-0.360	-0.042	0.030
kookaburra	0.762	0.000	0.762	0.000
kraken	-0.542	-0.068	-0.542	-0.067
kraut	-0.810	-0.220	-0.810	-0.767
krispies	0.190	0.000	0.190	0.061
kryptonite	-0.583	0.176	-0.583	-0.472
kudos	0.952	0.284	0.952	0.767
labor day	0.583	-0.080	0.583	0.212
labored	-0.524	0.274	-0.524	0.000
laboring	0.444	0.474	0.286	0.444
laborious	-0.167	0.418	-0.167	0.091
laborsaving	0.333	0.667	0.333	0.303
labrador	1.000	0.074	1.000	0.576
labyrinthine	-0.542	-0.444	-0.542	0.067
lace	0.190	-0.414	0.190	0.074
lacelike	0.208	-0.286	0.208	0.091
lacerate	-0.667	0.889	-0.667	-0.444
laceration	-0.708	-0.114	-0.708	-0.444
lacerative	-0.833	0.143	-0.833	-0.185
lacework	0.500	0.000	0.500	0.182
lack	-0.667	-0.516	-0.667	-0.242
lack of	-0.500	-0.612	-0.500	-0.500
lackadaisical	-0.519	-0.952	-0.481	-0.519
lackadaisically	-0.571	-0.833	-0.571	-0.424
lackadaisicalness	-0.714	-0.667	-0.714	-0.424
lackey	-0.667	-0.668	-0.476	-0.667
lacking	-0.500	-0.758	-0.500	-0.433
lackluster	-0.625	-0.472	-0.625	-0.303
laconic	-0.667	0.407	-0.667	0.152
lactate	-0.167	-0.429	-0.167	0.000
lactose intolerance	-0.292	-0.484	-0.292	0.030
lad	0.667	-0.328	0.667	0.306
laddie	0.222	-0.218	0.100	0.222
laden	0.083	0.108	-0.037	0.083
ladies	0.905	-0.333	0.905	0.375
lading	-0.222	-0.182	-0.222	0.000
lady	0.778	0.204	0.778	0.556
lady friend	0.889	0.038	0.889	0.259
ladybird	0.944	-0.286	0.944	0.190
ladyboy	-0.619	-0.444	-0.619	-0.222
ladyfinger	0.250	-0.042	0.250	0.056
ladylove	0.905	-0.074	0.905	0.485
lag	-0.458	-0.454	-0.458	0.000
lagged	-0.292	-0.519	-0.292	-0.067
lagging	-0.429	-0.446	-0.429	-0.303
lagoon	0.625	-0.254	0.625	0.028
laid bare	0.273	-0.258	-0.208	0.273
laid off	-0.625	-0.468	-0.625	-0.233
laid up	-0.407	-0.452	-0.407	-0.121
lake	0.444	-0.150	0.444	0.111
lakefront	0.958	0.083	0.958	0.139
lakeshore	0.481	-0.083	0.481	0.194
lakeside	0.593	0.000	0.593	0.000
lamb	0.875	-0.358	0.875	0.700
lambaste	-0.875	0.762	-0.875	-0.606
lambskin	0.833	-0.619	0.833	0.455
lame	-0.667	-0.566	-0.667	-0.152
lame duck	-0.542	-0.534	-0.542	-0.370
lame excuse	-0.909	-0.310	-0.467	-0.909
lamely	-0.524	-0.667	-0.524	-0.333
lameness	-0.476	-0.875	-0.476	-0.152
lament	-0.417	-0.296	-0.417	0.030
lamentable	-0.667	-0.593	-0.667	-0.242
lamentably	-0.389	-0.667	-0.389	-0.167
lamentation	-0.667	-0.815	-0.667	0.037
lamenter	-0.292	-0.542	-0.292	0.000
lamenting	-0.208	-0.492	-0.208	-0.121
lamplight	0.500	-0.167	0.500	0.333
lamplighter	0.444	0.296	0.389	0.444
lampoonery	-0.667	0.167	-0.667	-0.667
lamprey	-0.905	-0.571	-0.905	0.033
lanced	-0.458	-0.074	-0.458	-0.067
lancet	0.233	0.500	-0.167	0.233
landed	0.238	-0.040	0.000	0.238
landfill	-0.762	-0.352	-0.762	-0.194
landlady	0.778	-0.166	0.778	0.485
landless	-0.583	-0.667	-0.583	0.000
landlessness	-0.667	-0.792	-0.667	-0.212
landlocked	-0.458	-0.266	-0.458	0.033
landlord	-0.167	0.716	-0.167	-0.033
landlubber	-0.444	-0.583	-0.444	0.030
landmark	0.778	0.362	0.778	0.242
landmass	0.083	0.778	0.000	0.083
landmine	-0.958	0.963	-0.958	-0.667
landowner	0.636	0.963	0.167	0.636
landowning	0.567	0.958	-0.481	0.567
landscape	0.250	-0.154	0.250	0.194
landscaper	0.533	0.429	0.444	0.533
landscaping	0.375	0.038	0.375	0.273
landside	-0.125	0.143	-0.125	0.000
landslide	-0.292	0.060	-0.292	-0.091
language	0.833	0.408	0.833	0.545
language barrier	-0.333	0.064	-0.333	-0.083
languid	-0.500	-0.434	-0.500	-0.091
languidness	-0.625	-0.667	-0.625	0.033
languish	-0.619	-0.236	-0.619	-0.091
languisher	-0.625	-0.944	-0.625	-0.074
languishing	-0.619	-0.294	-0.619	-0.519
languishment	-0.667	-0.750	-0.667	-0.091
languorously	-0.333	-1.000	-0.333	0.000
lankiness	-0.111	-0.333	-0.111	0.000
lapdog	0.500	-0.462	0.500	0.111
lapped	0.042	-0.333	0.042	-0.033
lapsed	-0.417	-0.448	-0.286	-0.417
laptop	0.222	0.038	0.000	0.222
larcenist	-1.000	0.185	-1.000	-1.000
larcenous	-0.963	-0.185	-0.963	-0.939
larceny	-1.000	-0.092	-0.958	-1.000
larder	0.056	0.018	0.056	0.000
large	0.133	0.472	0.048	0.133
large quantities	0.083	0.448	0.083	0.083
large scale	0.056	0.308	0.000	0.056
largely	0.152	0.458	0.000	0.152
largeness	0.074	0.593	0.000	0.074
larger	0.125	0.526	0.125	0.000
largess	0.963	0.407	0.963	0.758
larkish	0.630	-0.095	0.630	0.139
larva	-0.875	-0.492	-0.875	0.000
laryngitis	-0.407	-0.260	-0.407	-0.037
laryngoscopy	0.250	0.667	-0.190	0.250
lasagna	0.815	-0.208	0.815	0.139
lasciviously	-0.967	-0.292	-0.704	-0.967
lasciviousness	-0.905	-0.556	-0.905	-0.741
laserjet	-0.500	0.407	-0.500	0.000
lash	-0.476	0.218	-0.476	-0.194
lash out	-0.833	0.034	-0.833	-0.611
lasher	-0.583	0.875	-0.583	-0.364
lass	0.571	-0.134	0.571	0.074
last	0.037	-0.406	0.037	0.037
last call	0.067	-0.138	0.042	0.067
last day	0.500	-0.534	0.500	0.077
last ditch	-0.417	-0.300	-0.417	-0.208
last half	0.000	-0.322	0.000	0.000
last legs	-0.667	-0.366	-0.667	0.033
last me	-0.259	-0.344	-0.259	-0.033
last out	-0.148	-0.434	-0.148	0.000
last post	0.033	-0.400	0.000	0.033
last quarter	0.000	-0.074	0.000	0.000
last resort	-0.375	-0.300	-0.375	0.333
last straw	-0.500	-0.178	-0.500	-0.242
last supper	0.593	-0.194	0.593	0.190
last word	0.091	0.078	-0.083	0.091
lastday	0.037	-0.074	0.000	0.037
lasting	0.611	0.490	0.571	0.611
latch	-0.048	-0.424	-0.048	0.030
latch on	0.381	-0.458	0.381	0.152
latch onto	0.167	-0.034	0.167	0.000
late	-0.333	-0.370	-0.333	-0.278
late bloomer	0.704	-0.388	0.704	0.000
late father	0.667	-0.656	0.667	0.133
late husband	0.500	-0.466	0.389	0.500
late night	0.259	-0.266	0.259	0.000
late show	0.292	-0.044	0.292	0.030
latecomer	-0.167	-0.429	-0.125	-0.167
lateness	-0.515	-0.314	-0.417	-0.515
later	0.056	-0.346	0.000	0.056
lateralize	-0.333	0.444	-0.333	0.000
lather	0.167	-0.374	0.167	0.030
latrine	-1.000	-0.648	-1.000	-0.200
latrines	-0.905	-0.466	-0.905	-0.042
latticed	-0.208	0.208	-0.208	0.091
laudable	0.963	0.364	0.958	0.963
laudably	0.926	0.571	0.917	0.926
laugh	1.000	0.174	1.000	0.100
laugh track	0.389	-0.276	0.389	-0.200
laughing	1.000	0.068	1.000	0.111
laughing stock	-0.619	-0.066	-0.619	-0.296
laughs	1.000	-0.150	1.000	0.205
laughter	1.000	0.176	1.000	0.533
launch	0.143	0.196	0.143	0.139
launcher	0.091	0.616	0.000	0.091
launderer	-0.733	0.083	-0.375	-0.733
launderette	0.208	-0.042	0.208	0.167
laundry	0.238	-0.246	0.238	0.000
laureate	0.952	0.404	0.952	0.697
laurel	0.556	-0.396	0.556	0.515
laurels	0.714	0.090	0.714	0.556
lava	-0.200	0.230	-0.200	0.000
lavender	0.571	-0.224	0.571	0.152
lavish	0.810	0.460	0.810	0.233
lavisher	0.593	0.458	0.593	0.182
lavishly	0.714	0.611	0.714	0.301
lavishness	0.571	0.571	0.571	0.091
law	0.926	0.630	0.000	0.926
law degree	0.833	0.260	-0.259	0.833
law school	0.667	0.000	-0.333	0.667
law student	0.533	0.414	0.000	0.533
lawbreaker	-0.909	-0.542	-0.852	-0.909
lawbreaking	-0.939	-0.042	-0.833	-0.939
lawful	0.970	0.560	0.500	0.970
lawfulness	0.933	0.857	0.583	0.933
lawgiver	0.733	1.000	0.381	0.733
lawless	-0.926	-0.160	-0.750	-0.926
lawlessly	-0.909	0.417	-0.778	-0.909
lawlessness	-0.970	0.018	-0.952	-0.970
lawn	0.381	-0.092	0.381	0.061
lawsuit	-0.667	0.222	-0.667	-0.267
laxative	-0.333	0.056	-0.333	0.000
laxness	-0.606	-0.667	-0.481	-0.606
lay back	0.762	-0.482	0.762	0.000
lay low	-0.296	-0.600	-0.296	-0.185
lay off	-0.542	-0.468	-0.542	0.000
lay out	0.083	-0.206	0.083	0.061
layback	0.792	-0.250	0.792	0.028
laying on	-0.152	-0.218	-0.143	-0.152
layoff	-0.714	-0.630	-0.714	-0.259
lazily	-0.476	-0.714	-0.476	-0.194
laziness	-0.667	-0.736	-0.630	-0.667
lazy	-0.625	-0.808	-0.625	-0.583
lazy eye	-0.333	-0.566	-0.333	-0.056
lazybones	-0.485	-0.833	-0.476	-0.485
lazyday	0.333	-0.710	0.333	-0.133
leach	-0.625	-0.200	-0.625	-0.593
lead	0.417	-0.090	0.417	0.033
lead character	0.889	0.334	0.889	0.545
lead off	0.333	-0.300	0.333	0.056
lead role	0.630	0.388	0.630	0.472
lead singer	0.815	0.300	0.815	0.167
lead with	0.407	0.500	0.407	0.333
leaden	-0.444	-0.625	-0.444	-0.167
leader	0.810	0.852	0.810	0.700
leaderless	-0.667	-0.875	-0.667	-0.333
leadership	0.762	0.948	0.762	0.667
leading	0.697	0.954	0.667	0.697
leaf	0.480	-0.412	0.480	0.003
leaf blower	-0.286	-0.108	-0.286	0.061
leafless	-0.630	-0.458	-0.630	-0.037
leafy	0.429	0.400	0.429	0.111
league	0.542	-0.076	0.542	0.000
leak	-0.600	0.040	-0.458	-0.600
leakage	-0.515	0.056	-0.458	-0.515
leaker	-0.636	-0.370	-0.458	-0.636
leakiness	-0.556	-0.667	-0.556	-0.455
leaky	-0.528	-0.424	-0.389	-0.528
lean	0.306	-0.124	0.292	0.306
lean toward	0.250	-0.034	0.250	0.000
lean towards	0.375	-0.358	0.375	0.030
leap	0.583	0.334	0.583	0.056
leap year	0.125	-0.282	0.125	0.000
leaper	-0.222	0.389	-0.222	-0.121
leapt	0.095	0.481	0.095	0.037
learn	1.000	0.658	1.000	0.267
learn about	0.926	0.034	0.926	0.212
learnable	0.583	0.481	0.583	0.242
learned	0.667	0.086	0.542	0.667
learnedly	-0.167	0.542	-0.167	0.167
learner	0.625	-0.204	0.625	0.333
learning	0.958	0.148	0.958	0.727
learning disability	0.444	-0.656	0.444	0.000
learnt	0.292	0.292	0.292	0.148
leasable	0.061	0.125	0.000	0.061
leasehold	0.139	-0.444	0.000	0.139
leash	-0.292	-0.146	-0.292	0.000
least	-0.292	-0.408	-0.292	0.000
leatherjacket	-0.381	0.000	-0.381	0.028
leatherwork	0.125	0.042	0.125	0.061
leave	-0.333	-0.410	-0.333	0.000
leave alone	-0.619	-0.482	-0.619	-0.067
leave behind	-0.458	-0.428	-0.458	-0.061
leave for	0.100	-0.120	-0.074	0.100
leave home	-0.095	-0.096	-0.095	0.000
leave in	-0.143	-0.452	-0.143	0.037
leave off	-0.370	-0.376	-0.370	-0.083
leave office	-0.375	-0.408	-0.375	0.111
leave on	-0.091	-0.138	0.083	-0.091
leave out	-0.611	-0.634	-0.611	-0.083
leave room	-0.296	-0.166	-0.296	0.091
leavemealone	-0.917	-0.196	-0.917	-0.222
leaven	0.333	0.286	0.333	0.000
leaving	-0.500	-0.258	-0.500	-0.083
lecher	-1.000	-0.476	-1.000	-0.926
lecherous	-0.926	-0.248	-0.833	-0.926
lecherously	-0.857	0.625	-0.857	-0.810
lecherousness	-0.952	0.296	-0.952	-0.909
lechery	-0.905	-0.583	-0.905	-0.848
lecture on	0.370	0.258	-0.333	0.370
lecturer	0.700	0.472	0.333	0.700
led	0.133	0.667	0.042	0.133
leech	-0.792	-0.464	-0.792	-0.733
leeches	-0.815	-0.410	-0.815	-0.697
leechlike	-0.848	-0.867	-0.708	-0.848
leek	0.000	0.000	0.000	0.000
leery	-0.625	-0.180	-0.625	-0.500
lees	-0.429	-0.188	-0.429	-0.091
left	-0.524	-0.278	-0.524	0.000
left behind	-0.542	-0.072	-0.542	-0.182
left field	-0.037	-0.414	-0.037	0.000
left hand	0.028	-0.182	0.000	0.028
left out	-0.625	-0.434	-0.625	-0.282
left over	-0.148	-0.552	-0.148	0.121
left overs	0.250	-0.266	0.250	0.056
left side	0.033	-0.334	0.000	0.033
left standing	-0.061	-0.028	0.000	-0.061
left wing	0.083	-0.310	0.083	0.000
leftist	-0.083	-0.194	-0.083	0.000
leftout	-0.714	-0.510	-0.714	-0.233
leftovers	0.292	-0.768	0.292	0.030
leg out	0.000	-0.134	0.000	0.000
legacy	0.792	0.654	0.792	0.633
legal	0.758	0.774	0.000	0.758
legalese	-0.667	0.458	-0.667	-0.303
legalism	-0.571	0.524	-0.571	0.500
legalistically	-0.417	0.481	-0.417	0.111
legality	0.889	0.426	0.000	0.889
legalization	0.208	0.708	0.208	0.167
legalized	0.606	0.710	0.048	0.606
legally	0.733	0.684	0.000	0.733
legally binding	0.939	0.580	-0.292	0.939
legend	1.000	0.500	1.000	0.455
legendary	0.762	0.635	0.762	0.636
legging	-0.208	0.000	-0.208	-0.061
leggy	0.042	0.292	0.042	0.000
legibility	0.167	0.160	0.083	0.167
legible	0.303	0.018	0.056	0.303
legibly	0.208	0.292	0.208	0.100
legislative	0.600	0.600	-0.208	0.600
legit	0.667	0.698	0.458	0.667
legitimacy	0.970	0.710	0.556	0.970
legitimate	0.909	0.682	0.524	0.909
legitimately	0.933	0.556	0.542	0.933
legitimatize	0.485	0.667	0.000	0.485
legitimist	0.485	0.667	-0.389	0.485
legitimization	0.600	0.704	0.048	0.600
legitimize	0.528	0.852	0.095	0.528
legless	-0.625	-0.889	-0.625	-0.167
legroom	0.057	-0.208	0.000	0.057
legwarmer	0.278	-0.286	0.278	0.000
leisure	0.667	-0.158	0.667	0.267
leisured	0.429	0.333	0.429	0.139
leisureliness	0.524	-0.296	0.524	0.100
leisurely	0.625	-0.266	0.625	0.091
leisurewear	0.417	-0.222	0.417	0.037
lemme	0.519	-0.354	0.519	0.000
lemming	-0.667	-0.741	-0.667	-0.333
lemon drop	0.571	-0.214	0.571	0.061
lemonade	1.000	-0.176	1.000	0.152
lemongrass	0.389	0.000	0.389	0.030
lendable	0.576	0.125	0.417	0.576
lender	0.606	0.406	0.524	0.606
lengthening	0.111	0.056	0.111	0.033
lengthiness	-0.190	-0.444	-0.190	-0.030
lenience	1.000	-0.417	1.000	0.500
leniently	0.815	-0.333	0.815	0.545
leper	-0.815	-0.588	-0.815	-0.333
leprosy	-1.000	-0.302	-1.000	-0.519
leprous	-0.952	-0.741	-0.952	-0.567
lesion	-0.625	-0.278	-0.625	-0.152
lesions	-0.667	-0.619	-0.667	-0.091
less	-0.286	-0.770	-0.286	0.000
less than	-0.286	-0.630	-0.286	-0.100
lessen	0.250	-0.507	0.250	0.083
lessening	-0.091	-0.446	0.000	-0.091
lesser	-0.286	-0.578	-0.286	-0.091
lesson	0.833	0.186	0.833	0.515
let alone	0.083	-0.448	0.000	0.083
let down	-0.524	-0.188	-0.524	-0.500
let go	0.389	-0.124	0.389	0.111
let into	0.400	-0.334	0.400	0.111
let off	0.111	-0.500	0.111	-0.033
let on	0.250	0.000	0.250	-0.152
let out	0.111	-0.260	0.111	0.037
letch	-0.889	-0.667	-0.889	-0.667
letdown	-0.542	-0.667	-0.542	-0.417
lethal	-0.833	1.000	-0.833	-0.167
lethally	-0.952	0.852	-0.952	-0.758
lethargic	-0.556	-0.250	-0.556	-0.182
lethargically	-0.667	-0.815	-0.667	-0.306
lethargy	-0.625	-0.368	-0.625	-0.185
letter	0.333	-0.316	0.333	0.167
letterman	0.476	0.500	0.476	0.472
letterpress	0.121	0.148	0.042	0.121
letters	0.333	-0.272	0.333	0.061
letting	0.083	-0.333	0.083	0.000
leukemia	-0.333	-0.298	-0.333	0.033
leukemic	-0.875	-0.905	-0.875	-0.148
level headed	0.758	0.344	0.619	0.758
level up	0.458	0.500	0.458	0.037
